method,mean(time),sd(time)
ablated,0.004374166353295247,0.027837647478933934
additive,0.004800802894632022,0.019452695127269232
additive_nn,4.83654342823704,8.012911349119177
ilp,0.05673580899382632,0.08442458323891783
random,7.357435667763154e-4,0.03788441672542716
