experiment,epoch,batch_size,num_layers,dropout,hidden_size,dropout_ff,weight_decay,lr,embed_dim,activation,datasize,score
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/403384072,0,22,3,0.015729404186396356,349,0.2583292534558978,7.436249669880457e-06,7.009483271561621e-05,100,sigmoid,500000,0.927936031984008
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/208963000,0,120,2,0.012074490157425732,769,0.49310072136104355,1.900128292542562e-09,0.0003973557855220204,100,sigmoid,4000000,0.9276361819090455
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/774897746,0,20,1,0.07066058248048179,393,0.3120767825356718,1.7688468670632353e-08,0.0002750721391496357,300,tanh,500000,0.9276361819090455
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/365263273,0,77,3,0.08964969897636182,127,0.5681363329003297,3.2923786106527275e-06,0.0008834353828776312,100,tanh,4000000,0.927536231884058
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/223446150,0,113,2,0.019757398555533823,431,0.25197556783365865,1.0016654824913816e-05,0.0011483089903230946,300,tanh,4000000,0.9272363818090954
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/397245416,0,23,1,0.026912313673527456,529,0.5738272677280856,5.401263625710048e-05,7.604540081437604e-06,300,sigmoid,500000,0.927136431784108
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/734062450,1,119,4,0.0920451804782633,245,0.6753511793673289,1.055371825416049e-08,0.0035807017350155583,100,tanh,4000000,0.9252373813093453
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/900888370,0,89,5,0.05405165327164244,319,0.4860477467431443,3.755817991791389e-08,0.00042221234171208006,300,sigmoid,4000000,0.9251374312843578
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/433703072,1,120,2,0.08826217731466367,354,0.6615809370339514,6.96268528859998e-08,1.8052178199363027e-05,300,tanh,4000000,0.9250374812593704
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/129116574,0,62,5,0.07989953034258396,378,0.6614266184558434,7.585003152165335e-09,8.867862236242312e-05,300,sigmoid,4000000,0.9246376811594202
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/729676104,1,149,1,0.08828740347472931,507,0.6263206903091116,9.724633544534809e-05,0.00020323763876113737,100,relu,4000000,0.9246376811594202
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/484132317,0,112,1,0.03315260947636289,846,0.26601438872668237,3.05078319035542e-07,3.505765147769684e-05,300,relu,4000000,0.9246376811594202
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/453885973,1,103,4,0.04294051991375872,541,0.33652204971924804,2.1530412322130366e-05,0.0006980282693472504,300,tanh,4000000,0.9244377811094453
