experiment,epoch,batch_size,num_layers,dropout,hidden_size,dropout_ff,weight_decay,lr,embed_dim,activation,datasize,score
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/345862764,3,51,2,0.07930531140057231,159,[0.13869642104898086],1.608765930371222e-05,0.0003583626424943591,1324,tanh,1000000,0.9367794830775383
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/410737137,7,57,1,0.07512365618505873,791,"[0.39196897888505267, 0.1085979800712887]",4.7503476468274266e-07,0.0005229677809433067,1324,relu,1000000,0.936579513073039
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/932566763,9,57,1,0.07512365618505873,791,"[0.39196897888505267, 0.1085979800712887]",4.98987025467477e-07,0.0005475498905909558,1324,relu,1000000,0.9365295205719142
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/932565667,4,57,1,0.07512365618505873,791,"[0.39196897888505267, 0.1085979800712887]",4.952784831215542e-07,0.0005302325185337798,1324,relu,1000000,0.9364695295705644
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/410737137,1,57,1,0.07512365618505873,791,"[0.39196897888505267, 0.1085979800712887]",4.7503476468274266e-07,0.0005229677809433067,1324,relu,1000000,0.9364695295705644
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/834772219,5,57,1,0.07512365618505873,791,"[0.39196897888505267, 0.1085979800712887]",4.995360944754268e-07,0.0005225638904156207,1324,relu,1000000,0.9364195370694396
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/221854649,5,57,1,0.07512365618505873,791,"[0.39196897888505267, 0.1085979800712887]",4.979883568479861e-07,0.0005317554528358565,1324,relu,1000000,0.93631955206719
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/932565667,1,57,1,0.07512365618505873,791,"[0.39196897888505267, 0.1085979800712887]",4.952784831215542e-07,0.0005302325185337798,1324,relu,1000000,0.93631955206719
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/221854649,7,57,1,0.07512365618505873,791,"[0.39196897888505267, 0.1085979800712887]",4.979883568479861e-07,0.0005317554528358565,1324,relu,1000000,0.9361395790631405
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/834772219,6,57,1,0.07512365618505873,791,"[0.39196897888505267, 0.1085979800712887]",4.995360944754268e-07,0.0005225638904156207,1324,relu,1000000,0.9358696195570665
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/834772219,7,57,1,0.07512365618505873,791,"[0.39196897888505267, 0.1085979800712887]",4.995360944754268e-07,0.0005225638904156207,1324,relu,1000000,0.9357396390541419
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/410737137,3,57,1,0.07512365618505873,791,"[0.39196897888505267, 0.1085979800712887]",4.7503476468274266e-07,0.0005229677809433067,1324,relu,1000000,0.935689646553017
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/932565667,5,57,1,0.07512365618505873,791,"[0.39196897888505267, 0.1085979800712887]",4.952784831215542e-07,0.0005302325185337798,1324,relu,1000000,0.9355296705494176
